gene.name	time	gene.regulation	mean
B4GALT1	360	up-regulated	1.85215169077201
B4GALT1	420	up-regulated	2.07697743396045
B4GALT1	480	up-regulated	1.93031794732023
B4GALT1	600	up-regulated	2.69573657132086
B4GALT1	720	up-regulated	2.71174416145527
CBLB	0	up-regulated	0
CBLB	30	up-regulated	0.0209403573907381
CBLB	60	up-regulated	0.0460871751574421
CBLB	120	up-regulated	0.554758567998649
CBLB	180	up-regulated	0.742325325746644
CBLB	240	up-regulated	0.637749962465455
CBLB	300	up-regulated	1.16143895519171
CBLB	360	up-regulated	1.365754934036
CBLB	420	up-regulated	1.66937862314056
CBLB	480	up-regulated	1.52114112060174
CBLB	600	up-regulated	2.39552908621878
CBLB	720	up-regulated	2.6815454056622
CDC6	0	down-regulated	0
CDC6	30	down-regulated	-0.0864429193300739
CDC6	60	down-regulated	0.0362406124410027
CDC6	120	down-regulated	0.275445994557574
CDC6	180	down-regulated	-0.170036696302758
CDC6	240	down-regulated	-0.348363709244594
CDC6	300	down-regulated	-1.00073858147356
CDC6	360	down-regulated	-1.1912195434153
CDC6	420	down-regulated	-1.64416740580386
CDC6	480	down-regulated	-1.5098959666065
CDC6	600	down-regulated	-2.28885088918556
CDC6	720	down-regulated	-2.53281580397051
C11orf80	0	up-regulated	0
C11orf80	30	up-regulated	-0.0961929015685656
C11orf80	60	up-regulated	0.0284561126258881
C11orf80	120	up-regulated	0.190116808055769
C11orf80	180	up-regulated	0.216720254973022
C11orf80	240	up-regulated	0.681926696058134
C11orf80	300	up-regulated	1.18517870298761
C11orf80	360	up-regulated	1.44227596829227
C11orf80	420	up-regulated	1.3691407751499
C11orf80	480	up-regulated	1.45579973408302
C11orf80	600	up-regulated	2.21876494254246
C11orf80	720	up-regulated	2.71548608538532
RFWD3	0	down-regulated	0
RFWD3	30	down-regulated	0.00471630873091855
RFWD3	60	down-regulated	-0.168272993404489
RFWD3	120	down-regulated	-0.185272262090953
RFWD3	180	down-regulated	-0.211909720790811
RFWD3	240	down-regulated	-0.603019406765037
RFWD3	300	down-regulated	-1.00991073938958
RFWD3	360	down-regulated	-1.30998868266141
RFWD3	420	down-regulated	-1.64511015710992
RFWD3	480	down-regulated	-1.78161823798052
RFWD3	600	down-regulated	-2.24927602618172
RFWD3	720	down-regulated	-2.67593790362045
ADGRG6	0	up-regulated	0
ADGRG6	30	up-regulated	0.0379149553029681
ADGRG6	60	up-regulated	0.359197543322024
ADGRG6	120	up-regulated	0.358549563270907
ADGRG6	180	up-regulated	0.48637310438514
ADGRG6	240	up-regulated	0.730856519159123
ADGRG6	300	up-regulated	1.38890402635359
ADGRG6	360	up-regulated	1.69643042506091
ADGRG6	420	up-regulated	1.88126658422886
ADGRG6	480	up-regulated	1.81779341855314
ADGRG6	600	up-regulated	2.3911601009987
ADGRG6	720	up-regulated	2.71190120150986
NNMT	0	up-regulated	0
NNMT	30	up-regulated	0.0747229897746187
NNMT	60	up-regulated	0.5109256055539
NNMT	120	up-regulated	0.582196461075287
NNMT	180	up-regulated	0.788471914215492
NNMT	240	up-regulated	1.11317003726822
NNMT	300	up-regulated	1.85752964718715
NNMT	360	up-regulated	1.98193258566433
NNMT	420	up-regulated	2.13294746426177
NNMT	480	up-regulated	2.08188592006168
NNMT	600	up-regulated	2.59707592675192
NNMT	720	up-regulated	2.64520691218023
MASTL	0	down-regulated	0
MASTL	30	down-regulated	-0.0669721703931714
MASTL	60	down-regulated	-0.139906489992028
MASTL	120	down-regulated	0.131678845888985
MASTL	180	down-regulated	-0.103451510272693
MASTL	240	down-regulated	-0.33480604160544
MASTL	300	down-regulated	-0.900314980258633
MASTL	360	down-regulated	-0.647968080885033
MASTL	420	down-regulated	-1.39192128294555
MASTL	480	down-regulated	-1.4944531971712
MASTL	600	down-regulated	-2.30951370681657
MASTL	720	down-regulated	-2.7460477773615
SDK2	0	up-regulated	0
