gene_name	pvalue	regulated_gene	t00_rep1	t00_rep2	t00_rep3	t00_rep4	t05_rep1	t05_rep2	t05_rep3	t05_rep4	t1_rep1	t1_rep2	t1_rep3	t1_rep4	t2_rep1	t2_rep2	t2_rep3	t2_rep4	t3_rep1	t3_rep2	t3_rep3	t3_rep4	t4_rep1	t4_rep2	t4_rep3	t4_rep4	t5_rep2	t5_rep3	t5_rep4	t6_rep2	t6_rep3	t6_rep4	t7_rep1	t7_rep2	t7_rep3	t7_rep4	t8_rep1	t8_rep2	t8_rep3	t8_rep4	t10_rep1	t10_rep2	t10_rep3	t10_rep4	t12_rep1	t12_rep2	t12_rep3	t12_rep4
A4GALT	3.64441629242e-10	up-regulated	-1.17208056085975	-1.05220640738034	-0.904668987713368	0.118871861226241	-0.969216608817667	-0.996879875005224	-0.130097534461772	-0.923111165171739	-0.66492068075454	-1.39338669036021	-1.19974382704731	-1.12597511721382	-0.545046527275127	-0.462056728712456	-0.674141769483726	-0.923111165171739	-0.203866244295257	-0.1762029781077	-0.323740397774671	-0.895447898984182	-0.849342455338254	0.31251472453914	-0.434393462524899	-0.1762029781077	0.86578004829028	-0.987658786276039	-0.139318623190958	0.828895693373537	-0.812458100421511	0.792011338456795	0.0819875063094984	1.52969843679165	1.84321545358396	-0.692583946942097	0.00821879647601311	1.77866783247966	1.02253855668644	-0.563488704733498	1.05942291160318	2	1.61268823535432	0.533820854039596	1.76022565502129	1.40982428331223	0.994875290498879	0.58914738641471
ABCA6	1.58637803040337e-08	up-regulated	-0.665341848200531	-1.19001141992438	-0.315562133717966	-0.665341848200531	-0.315562133717966	-0.315562133717966	-1.0151215626831	-0.315562133717966	-0.665341848200531	-1.19001141992438	-1.0151215626831	-1.36490127716566	-0.140672276476684	-0.840231705441813	-0.490451990959248	-0.315562133717966	-0.665341848200531	0.558887152488446	-0.840231705441813	-0.315562133717966	-0.840231705441813	0.383997295247164	-0.140672276476684	0.209107438005881	-0.490451990959248	-1.36490127716566	-0.140672276476684	0.209107438005881	-0.315562133717966	0.908666866971011	0.0342175807645988	1.60822629593614	0.733777009729728	-1.0151215626831	0.209107438005881	0.209107438005881	2	-0.140672276476684	0.383997295247164	1.25844658145358	0.209107438005881	-0.140672276476684	1.78311615317742	2	1.78311615317742	1.08355672421229
ABCA7	5.19855803523949e-06	up-regulated	-0.907682576544502	-0.810745602350429	-0.405372801175215	0.22031130498653	-1.03105690733696	-0.713808628156356	0.5904342973639	-1.51574177830732	-0.995807098539114	-1.57742894370355	-1.56861649150409	-1.20730595132618	-0.502309775369288	-0.273186018183297	-0.793120697951507	-0.863620315547196	0.0881245219946119	0.0793120697951507	-0.581621845164438	0.229123757185991	-0.608059201762822	1.03105690733696	-0.414185253374676	-0.308435826981142	1.18968104692726	-1.27780556892187	0.528747131967671	1.23374330792457	-1.00461955073858	-0.096936974194073	0.29962337478168	1.74486553549331	1.32186782991918	-0.581621845164438	-0.00881245219946119	2	1.48049196950948	-0.475872418770904	0.0616871653962283	2	0.74024598475474	-0.493497323169826	1.2249308557251	1.46286706511056	0.66974636715905	0.528747131967671
ABCA8	9.49065087212795e-11	up-regulated	-0.97465434831957	-1.34672156842497	-0.602587128214174	0.234564117022967	-1.03666555167047	-0.757615136591422	-0.695603933240523	-0.602587128214174	-0.726609534915973	-1.25370476339862	-1.47074397512676	-0.881637543293221	-0.385547916486026	-0.94364874664412	-0.726609534915973	-0.819626339942322	0.389592125400215	-0.788620738266872	-1.06767115334592	-0.354542314810577	-1.09867675502137	-0.385547916486026	-0.292531111459677	0.265569718698417	0.358586523724766	-0.788620738266872	1.28875457398826	0.668642540479262	-0.633592729889624	1.10272096393556	0.389592125400215	1.22674337063736	1.59881059074275	-0.540575924863275	-0.137503103082429	0.265569718698417	0.916687353882859	-0.199514306433328	0.668642540479262	1.07171536226011	0.513614532102014	2	0.82367054885651	1.66082179409365	1.31976017566371	2
ABCC11	7.19643848144471e-09	up-regulated	-0.570103340596574	-1.43275971123613	-0.915165888852394	-0.915165888852394	-0.915165888852394	-0.397572066468663	-0.742634614724484	-0.742634614724484	-1.0876971629803	-0.570103340596574	-0.915165888852394	-0.742634614724484	-1.0876971629803	-0.225040792340753	-1.0876971629803	-0.742634614724484	0.637615578298799	0.98267812655462	-0.0525095182128424	-0.225040792340753	-0.225040792340753	-0.0525095182128424	-0.915165888852394	-0.397572066468663	-0.742634614724484	-1.0876971629803	-0.742634614724484	0.465084304170889	-0.225040792340753	-0.0525095182128424	0.465084304170889	0.292553030042978	2	-0.0525095182128424	0.120021755915068	0.292553030042978	2	0.465084304170889	0.120021755915068	1.50027194893835	1.67280322306626	1.50027194893835	-0.225040792340753	2	1.67280322306626	0.98267812655462
ABCC8	8.80311946727622e-06	up-regulated	-1.33951594269552	-1.07506215143375	-0.90505614276546	-0.772829247134572	-1.03728303839635	-0.980614368840253	-0.90505614276546	-1.13173082098984	0.322765030949933	-1.22617860358333	-1.20728904706463	-1.20728904706463	0.379433700506028	-1.11284126447114	-1.24506816010203	-0.829497916690667	-0.0172469863866377	-0.470596342835398	-0.716160577578477	-0.243921664611018	-0.772829247134572	0.341654587468631	0.492771039618218	0.077200796206854	1.62614443074012	-0.281700777648415	1.64503398725882	1.73948176985231	0.00164257013206063	1.21057418732875	1.04056817866047	1.98504600459539	1.32391152644094	-0.829497916690667	0.247206804875139	1.45613842207183	1.34280108295964	-1.05617259491505	0.152759022281647	1.51280709162793	0.643887491767804	0.020532126650759	0.776114387398693	0.681666604805201	0.530550152655614	-0.187252995054923
ABHD2	8.42248357904726e-06	up-regulated	-1.4720364700753	-1.31221186976105	-1.41710915706408	1.37922646778903	-1.29258080843213	-1.4117552312471	-0.737755458954111	-0.642772849089933	-0.468472819714959	-1.53945627665948	-1.27433780194465	-0.926530917389805	-0.343746177534233	-0.834721004306059	-0.868827494695701	-0.362782358216824	0.573163192010568	-0.528754058543164	-0.209898032109765	0.180740258980905	-0.642574555541156	0.321132091515014	0.06513512004392	0.680836588996473	0.90827928944368	-0.971741846510959	1.470838087324	0.892614099090298	-0.827582436550087	1.12541072535448	-0.113329073855371	1.22237627070643	1.8793227978046	0.131563458884212	-0.150211673927891	0.656446482496903	0.746075166544102	0.0516511587270847	0.0544272684099626	0.592397666241935	0.0932928039702525	2	-0.174205193329906	0.306260075356739	0.612623608217188	2
ABLIM2	5.65528791663819e-10	up-regulated	-0.961437386735355	-0.905490366128364	-0.98941089703885	-0.849543345521373	-0.6817022837004	-0.98941089703885	-0.6817022837004	-0.961437386735355	-0.262099629147968	-0.933463876431859	-1.01738440734235	-1.01738440734235	0.157503025404464	-0.877516855824868	-0.98941089703885	-1.07333142794934	-0.318046649754959	-0.429940690968941	-0.849543345521373	-0.961437386735355	-0.849543345521373	-0.150205587933986	-0.485887711575932	-0.457914201272436	0.85684078299185	-0.485887711575932	-0.150205587933986	1.30441694784778	0.0456089841904817	0.0735824944939772	0.912787803598841	1.27644343754428	2	-0.625755263093409	0.437238128439418	2	1.89186066422118	-0.541834732182923	0.633052700563886	1.86388715391769	0.968734824205832	0.577105679956895	1.1925229066338	1.52820503027574	0.968734824205832	0.325344087225436
ABLIM3	3.94645712993632e-11	up-regulated	-1.03927145717573	-1.22393804799033	-0.958018157217305	-0.278445103019579	-1.15007141166449	-1.37167132064201	-0.404018384773507	-1.20916472072516	0.748301141909595	-1.41599130243751	-1.37905798427459	-1.43815129333526	0.88864775092869	-0.869378193626297	-1.25348470252066	-1.25348470252066	1.11763432353879	-0.832444875463378	-0.330151748447667	-0.573911648322938	0.172141378568044	-0.197191803061155	-0.44833836656901	-0.581298311955522	-0.0642318576746434	-0.810284884565626	-0.197191803061155	0.504541242034323	-0.74380491187237	-0.0863918485723954	0.216461360363548	0.88864775092869	1.88584734132753	0.859101096398354	0.770461132807346	1.06592767811071	1.17672763259947	-0.0272985395117235	0.800007787337682	1.08808766900846	1.41310086884215	1.13240765080396	1.25059426892531	1.18411429623205	1.22843427802755	1.74550073230843
ABTB2	1.34247339765743e-07	up-regulated	-1.29504743745259	-1.42476124017525	-1.7177355187385	0.0289279282683597	-1.54329281852527	-1.59025816089037	-0.6084588609723	-1.66182439687528	-0.10302231932883	-1.91006977794796	-1.69313462511869	-1.63722350325547	0.628295154642033	0.30624709270991	-0.051584087214671	-0.147751216819402	0.722225839372235	0.274936864466509	0.183242624610835	-0.196953004059032	0.800501409980737	0.252572415721223	0.051292377013646	0.245863081097637	0.4695075685505	-0.99983671401481	-0.141041882195816	0.943633881950569	-1.01549182813651	0.312956427333496	0.299537758086324	0.934688102452455	1.61904023405822	-0.0314560833439134	0.842993862596781	1.71744380853748	1.10689435779116	-0.601749526348714	0.431488005683513	1.14715036553267	0.874304090840182	0.603694261022218	1.21648015664306	0.456088899303328	0.270463974717452	1.63022245843086
