type_data	Min.	1st Qu.	Median	Mean	3rd Qu.	Max.
EP300	292.984075128599	329.614699778283	337.687929730954	341.653635839627	356.73169998724	388.658696320522
expression	180	252.410429470137	294.227296899509	294.750712129487	332.742469531495	427.902899653637
H3K27ac	266.179661128555	283.071624277673	295.916618729192	304.332425065576	323.292868327713	372.998983446039
H3K4me1	251.939817377215	278.729072861434	285.957187758686	291.151219002498	294.942631557804	365.55426667166
NR3C1	241.490719068357	273.676308057958	285.077870323066	288.788686126811	299.965003346453	347.923774238329
