gene.name	t00_rep1	t00_rep2	t00_rep3	t00_rep4	t05_rep1	t05_rep2	t05_rep3	t05_rep4	t1_rep1	t1_rep2	t1_rep3	t1_rep4	t2_rep1	t2_rep2	t2_rep3	t2_rep4	t3_rep1	t3_rep2	t3_rep3	t3_rep4	t4_rep1	t4_rep2	t4_rep3	t4_rep4	t5_rep2	t5_rep3	t5_rep4	t6_rep2	t6_rep3	t6_rep4	t7_rep1	t7_rep2	t7_rep3	t7_rep4	t8_rep1	t8_rep2	t8_rep3	t8_rep4	t10_rep1	t10_rep2	t10_rep3	t10_rep4	t12_rep1	t12_rep2	t12_rep3	t12_rep4	mean	fdr
AC092295.1	3.23913043478261	1.02173913043478	1.56521739130435	2.89130434782609	3.10869565217391	3	5.19565217391304	1.02173913043478	1.34782608695652	3.84782608695652	4.65217391304348	3.89130434782609	4.95652173913044	1.06521739130435	6.1304347826087	0.956521739130435	5	3.39130434782609	1.02173913043478	5.89130434782609	1.02173913043478	0	5.54347826086957	2.80434782608696	4.71739130434783	5.31521739130435	3.56521739130435	5.19565217391304	1.41304347826087	3.80434782608696	6.91304347826087	5.21739130434783	2.34782608695652	7.08695652173913	0	3.04347826086957	1.02173913043478	7.67391304347826	4.95652173913044	4.1304347826087	2.39130434782609	6.89130434782609	5.89130434782609	6	4.89130434782609	5.89130434782609	3.71573710217391	0.280674532404896
UTS2B	0	2.02173913043478	2.39130434782609	5.89130434782609	3.10869565217391	1	0	7.80434782608696	0	3.84782608695652	2.23913043478261	3.89130434782609	3.69565217391304	3.35869565217391	7.57608695652174	0	2.02173913043478	4.67391304347826	3.10869565217391	0.956521739130435	1.02173913043478	2	0	1.89130434782609	1.84782608695652	3.43478260869565	2.71739130434783	0	4.73913043478261	2.78260869565217	1.06521739130435	1.73913043478261	0	2.06521739130435	2.15217391304348	2.02173913043478	1.02173913043478	2.80434782608696	4.95652173913044	1.02173913043478	4.95652173913044	0.956521739130435	3.43478260869565	0	2	3.23913043478261	2.42296781304348	0.713116945917931
AC017071.1	1.56521739130435	4.93478260869565	2.39130434782609	9.45652173913044	6.80434782608696	6.84782608695652	1.97826086956522	4.89130434782609	5.93478260869565	8.97826086956522	1.06521739130435	7.91304347826087	3.69565217391304	5.71739130434783	1.15217391304348	6.84782608695652	2.02173913043478	7.97826086956522	7.71739130434783	8.69565217391304	4.17391304347826	3.04347826086957	2.10869565217391	2.80434782608696	0	5.31521739130435	7.89130434782609	1.71739130434783	6.26086956521739	2.78260869565217	2.17391304347826	0.956521739130435	8.17391304347826	9.02173913043478	4.65217391304348	5.02173913043478	8.04347826086957	1.89130434782609	7.52173913043478	6.06521739130435	7.17391304347826	4.93478260869565	4.71739130434783	4.04347826086957	0	7.6304347826087	4.88492431956522	0.957177709838127
AC018816.1	5.93478260869565	2.02173913043478	4.19565217391304	3.84782608695652	10.6195652173913	5.91304347826087	7.80434782608696	7.80434782608696	7.43478260869565	5	3.43478260869565	7.91304347826087	1.15217391304348	0	6.1304347826087	3.89130434782609	2.02173913043478	4.67391304347826	2.02173913043478	1.8695652173913	5.23913043478261	3.04347826086957	3.28260869565217	7.80434782608696	2.78260869565217	5.31521739130435	7.02173913043478	4.23913043478261	4.73913043478261	12.2608695652174	0	5.21739130434783	4.93478260869565	4.1304347826087	3.39130434782609	4.1304347826087	5.04347826086957	3.82608695652174	2.3695652173913	4.1304347826087	7.17391304347826	5.93478260869565	3.43478260869565	3.04347826086957	4.89130434782609	8.43478260869565	4.7717392173913	0.868053321767836
TAS2R4	3.23913043478261	6.93478260869565	15.2826086956522	18.3913043478261	30.1847826086957	8.86956521739131	4.65217391304348	17.7173913043478	2.95652173913043	7.77173913043478	7.80434782608696	11.9565217391304	4.95652173913044	12.3260869565217	3.80434782608696	11.6630434782609	5	7.97826086956522	28.6739130434783	14.8695652173913	4.17391304347826	5.95652173913044	15.445652173913	3.84782608695652	13.0869565217391	12.9347826086957	9.8695652173913	8.89130434782609	3.04347826086957	8.47826086956522	5.89130434782609	9.71739130434783	4.93478260869565	8.02173913043478	6.84782608695652	7.10869565217391	5.04347826086957	7.67391304347826	8.73913043478261	2.06521739130435	1.17391304347826	7.86956521739131	15.9782608695652	11.1304347826087	3.89130434782609	13.3913043478261	9.35302413043478	0.426360589993057
SMIM24	13.0434782608696	3.93478260869565	3.34782608695652	2	3.91304347826087	3.91304347826087	1.17391304347826	2.91304347826087	2.95652173913043	3.84782608695652	5.65217391304348	4.89130434782609	12.195652173913	6.80434782608696	5	1.89130434782609	6	9.1304347826087	7.71739130434783	1.8695652173913	6.39130434782609	3.04347826086957	3.28260869565217	9.73913043478261	5.58695652173913	3.43478260869565	6.06521739130435	5.19565217391304	3.04347826086957	4.76086956521739	6.91304347826087	5.21739130434783	0.826086956521739	9.02173913043478	10.2608695652174	6.06521739130435	2.06521739130435	8.56521739130435	8.73913043478261	3.08695652173913	3.80434782608696	6.89130434782609	8	3.04347826086957	8.78260869565217	3.23913043478261	5.37523619565217	0.666076055669275
AL132639.2	12.0652173913043	14.195652173913	8.95652173913044	6.80434782608696	12.6739130434783	20.695652173913	10.2608695652174	12.3260869565217	7.43478260869565	14.4782608695652	21.9782608695652	8.94565217391304	6.08695652173913	12.3260869565217	5	3.89130434782609	9.17391304347826	10.3695652173913	8.80434782608696	16.8913043478261	22.8478260869565	11.9565217391304	15.445652173913	9.73913043478261	12.1304347826087	11.0434782608696	13.3478260869565	18.6086956521739	19.5	12.2608695652174	16.0869565217391	7.89130434782609	9.91304347826087	12	12.6086956521739	16.0869565217391	15.1304347826087	14.8913043478261	6.1304347826087	10.0217391304348	6	19.8260869565217	12.4782608695652	14.1521739130435	12.8260869565217	10.8695652173913	12.3293954130435	0.811512901305785
AC021483.2	16.695652173913	15.0217391304348	8.95652173913044	16.9347826086957	15.8260869565217	16.8369565217391	11.4130434782609	22.9130434782609	10.2173913043478	8.97826086956522	12.3478260869565	16.9891304347826	13.3913043478261	6.80434782608696	25.2173913043478	27.0760869565217	16.9673913043478	7.97826086956522	14.4565217391304	16.8913043478261	7.52173913043478	7.02173913043478	8.89130434782609	13.4891304347826	10.2608695652174	7.30434782608696	19.4347826086957	4.23913043478261	14.8369565217391	19.1521739130435	12.695652173913	13	8.17391304347826	19.7173913043478	10.2608695652174	15.1304347826087	11.1847826086957	19.6304347826087	7.52173913043478	11.8913043478261	9.76086956521739	19.8260869565217	5.89130434782609	13.1739130434783	9.82608695652174	16.7173913043478	13.4449425	0.470841604168142
SHBG	9.34782608695652	11.0652173913043	0.804347826086957	5.19565217391304	2.19565217391304	4.93478260869565	4.65217391304348	2.02173913043478	2.95652173913043	6.43478260869565	6.80434782608696	2.95652173913043	1.15217391304348	7.86956521739131	7.57608695652174	6.84782608695652	4	5.89130434782609	1.02173913043478	2.80434782608696	2.06521739130435	1.02173913043478	3.28260869565217	2.80434782608696	1.84782608695652	11.0434782608696	5.21739130434783	2.56521739130435	0	1.89130434782609	6.91304347826087	5.21739130434783	7.39130434782609	3.10869565217391	9.08695652173913	4.1304347826087	6.06521739130435	4.80434782608696	3.71739130434783	9.01086956521739	6	2	3.43478260869565	4.04347826086957	7.80434782608696	4.95652173913044	4.6947070826087	0.873110250020673
UGT2B7	9.34782608695652	18.6086956521739	17.3804347826087	14.8913043478261	17.6739130434783	9.8695652173913	15.2282608695652	16.8152173913044	23.9782608695652	11.7173913043478	24.2608695652174	19.9130434782609	23.0652173913043	23.9565217391304	25.2173913043478	28.7826086956522	25.054347826087	23.5978260869565	16.8369565217391	24.0869565217391	27.2065217391304	14.8913043478261	24.2065217391304	29.8913043478261	22.6739130434783	25.9130434782609	14.195652173913	21.3478260869565	14.8369565217391	25.8695652173913	14.8913043478261	12.1304347826087	14.2065217391304	23.6521739130435	27.5217391304348	13.2173913043478	29.0217391304348	19.6304347826087	20.7173913043478	26.0108695652174	14.4021739130435	16.804347826087	22.6521739130435	23.304347826087	24.0652173913044	18.2826086956522	20.2570882826087	0.606744119727504
