type_data	Min.	1st Qu.	Median	Mean	3rd Qu.	Max.
EP300	261.632879781899	315.866198260345	332.652920467408	333.333840951467	352.235769784002	402.371849996766
expression	212.380236989135	293.390177324484	327.363416092715	327.279395346018	361.992355465107	444.678024546344
H3K27ac	243.817197475995	283.839462507235	299.00474661148	303.207449900228	317.919727024683	373.400683366037
H3K4me1	237.766562762365	275.061892100392	288.434492653702	289.718252468896	298.95146214591	345.133871986802
NR3C1	202.591572174907	254.70382045504	275.801313142768	275.172106838076	294.102981389007	348.376598648587
